id,jewelryType,name,material,weight,price,stock,category,additionalField
1,NECKLACE,Golden Chain,Gold,15.50,450.00,10,LUXURY,50.0
2,EARRING,Silver Studs,Silver,3.20,120.00,25,CASUAL,Stud
3,RING,Diamond Ring,Platinum,8.00,2500.00,5,BRIDAL,18
4,EARRING,Silver Chain,Gold,12.30,23.40,12,CASUAL,null
6,RING,Silver Chain,Silver,20.30,20.40,33,BRIDAL,20
6,EARRING,Silver Chain,Silver,12.30,23.40,12,CASUAL,Stud
7,NECKLACE,Silver Chain,Silver,33.30,33.40,33,LUXURY,33.0
8,RING,Silver Chain,Silver,20.30,20.40,33,BRIDAL,20
9,EARRING,Silver Chain,Silver,12.30,23.40,12,CASUAL,Stud
10,NECKLACE,Silver Chain,Silver,33.30,33.40,33,LUXURY,33.0
11,RING,Silver Chain,Silver,20.30,20.40,33,BRIDAL,20
12,EARRING,Silver Chain,Silver,12.30,23.40,12,CASUAL,Stud
13,NECKLACE,Silver Chain,Silver,33.30,33.40,33,LUXURY,33.0
14,RING,Silver Chain,Silver,20.30,20.40,33,BRIDAL,20
15,EARRING,Silver Chain,Silver,12.30,23.40,12,CASUAL,Stud
16,NECKLACE,Silver Chain,Silver,33.30,33.40,33,LUXURY,33.0
17,RING,Silver Chain,Silver,20.30,20.40,33,BRIDAL,20
18,EARRING,Silver Chain,Silver,12.30,23.40,12,CASUAL,Stud
19,NECKLACE,Silver Chain,Silver,33.30,33.40,33,LUXURY,33.0
20,RING,Silver Chain,Silver,20.30,20.40,33,BRIDAL,20
21,EARRING,Silver Chain,Silver,12.30,23.40,12,CASUAL,Stud
22,NECKLACE,Silver Chain,Silver,33.30,33.40,33,LUXURY,33.0
23,RING,Silver Chain,Silver,20.30,20.40,33,BRIDAL,20
24,EARRING,Silver Chain,Silver,12.30,23.40,12,CASUAL,Stud
25,NECKLACE,Silver Chain,Silver,33.30,33.40,33,LUXURY,33.0
26,RING,Silver Chain,Silver,20.30,20.40,33,BRIDAL,20
